200 uL pipette,,,
,,,
Plunger_pos,Plunger,mass_mL,mass
0,0,0.986,986
0,0,1.0014,1001.4
0,0,0.9932,993.2
0,0,0.9927,992.7
6,-6,1.0259,1025.9
6,-6,1.021,1021
26,-26,1.1529,1152.9
21,-21,1.1191,1119.1
11,-11,1.0489,1048.9
26,-26,1.1583,1158.3
16,-16,1.0842,1084.2
16,-16,1.0806,1080.6
1,-1,0.9912,991.2
26,-26,1.1463,1146.3
11,-11,1.0626,1062.6
16,-16,1.0844,1084.4
1,-1,0.9905,990.5
1,-1,0.9921,992.1
11,-11,1.0579,1057.9
21,-21,1.1325,1132.5
26,-26,1.1467,1146.7
1,-1,1.0007,1000.7
16,-16,1.0827,1082.7
11,-11,1.0499,1049.9
6,-6,1.0203,1020.3
21,-21,1.1268,1126.8
6,-6,1.0157,1015.7
21,-21,1.1224,1122.4
