20 uL pipette,
,
Plunger,mass
0,0.986
0,1.0014
0,0.9932
0,0.9927
26,1.0068
21,0.9971
11,1.001
21,1.0012
26,0.9993
16,1.0015
1,0.9885
6,0.9843
26,1.0172
21,0.9957
11,0.994
11,0.9887
1,0.9917
1,0.9886
6,1.0066
11,0.9928
16,1.0047
26,1.0112
1,0.9915
16,1.0056
6,0.9927
21,0.9987
16,1.0046
6,
